"ID","SCISSORS_CAF","SCISSORS_CAF_K4","SCISSORS_CAF_ALL","SCISSORS_CAF_K2","MS_K2","Elyada_CAF","PurIST","Maurer","Puleo","DeCAF","CAF_whitelist"
"SA411406",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","proCAF",TRUE
"SA411578",NA,"Mixed","Mixed","proCAF","Normal","myCAF","Basal-like","ECM-rich","Stroma Activated","restCAF",TRUE
"SA411721",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","proCAF",TRUE
"SA411745",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","proCAF",TRUE
"SA411769",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","proCAF",TRUE
"SA411833","restCAF","Mixed.restCAF","Mixed.restCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","proCAF",TRUE
"SA411923",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Basal-like","proCAF",TRUE
"SA412003","proCAF","Mixed.proCAF","Mixed.proCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Stroma Activated","proCAF",TRUE
"SA412076","proCAF","Mixed.proCAF","Mixed.proCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Stroma Activated","proCAF",TRUE
"SA518603",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","proCAF",TRUE
"SA518615","restCAF","Mixed.restCAF","Mixed.restCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","restCAF",TRUE
"SA518633","proCAF","Mixed.proCAF","Mixed.proCAF","restCAF","Activated","iCAF","Basal-like","ECM-rich","Pure Basal-like","proCAF",TRUE
"SA518665","restCAF","Mixed.restCAF","Mixed.restCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","proCAF",TRUE
"SA518689","restCAF","Mixed.restCAF","Mixed.restCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","restCAF",TRUE
"SA518695","restCAF","Mixed.restCAF","Mixed.restCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","proCAF",TRUE
"SA518704",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","proCAF",TRUE
"SA518712",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Stroma Activated","proCAF",TRUE
"SA518716","restCAF","Mixed.restCAF","Mixed.restCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","restCAF",TRUE
"SA518724",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","proCAF",TRUE
"SA518750","restCAF","Mixed.restCAF","Mixed.restCAF","restCAF","Normal","myCAF","Classical","ECM-rich","Pure Classical","restCAF",TRUE
"SA518765","restCAF","Mixed.restCAF","Mixed.restCAF","restCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","restCAF",TRUE
"SA518806","proCAF","Mixed.proCAF","Mixed.proCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Basal-like","proCAF",TRUE
"SA518817",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","proCAF",TRUE
"SA518854",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Stroma Activated","restCAF",TRUE
"SA518868","proCAF","Mixed.proCAF","Mixed.proCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Stroma Activated","proCAF",TRUE
"SA518878",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Stroma Activated","proCAF",TRUE
"SA528676",NA,NA,"Absent","restCAF","Normal","iCAF","Classical","Immune-rich","Pure Basal-like","proCAF",TRUE
"SA528677",NA,NA,"Absent","restCAF","Activated","iCAF","Classical","ECM-rich","Pure Basal-like","proCAF",TRUE
"SA528679","proCAF","Mixed.proCAF","Mixed.proCAF","restCAF","Activated","iCAF","Basal-like","ECM-rich","Pure Basal-like","proCAF",TRUE
"SA528687",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","proCAF",TRUE
"SA528695",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","proCAF",TRUE
"SA528711",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","proCAF",TRUE
"SA528755",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","proCAF",TRUE
"SA528761",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Basal-like","ECM-rich","Pure Basal-like","proCAF",TRUE
"SA528766","proCAF","Mixed.proCAF","Mixed.proCAF","restCAF","Activated","iCAF","Basal-like","ECM-rich","Pure Classical","proCAF",TRUE
"SA528767",NA,"Mixed","Mixed","proCAF","Normal","myCAF","Classical","ECM-rich","Stroma Activated","proCAF",TRUE
"SA528769",NA,NA,"Absent","restCAF","Normal","iCAF","Classical","ECM-rich","Pure Classical","restCAF",TRUE
"SA528771","proCAF","Mixed.proCAF","Mixed.proCAF","restCAF","Activated","iCAF","Classical","ECM-rich","Pure Classical","proCAF",TRUE
